chunk_id,document_type,domain,zone,sensor_id,timestamp_ref,text_chunk,token_count,embedding_model,vector_index,metadata_tags,retrieval_relevance_score,source_doc_id,chunk_sequence,language,last_updated
CHK-0001,incident_report,traffic,Zone-D-Industrial,TRA-003,2024-04-08T04:00:00,"Anomaly report for sensor TRA-003: Spike in traffic metrics detected. Possible causes include equipment malfunction, environmental event, or cyber intrusion. Forensic analysis pending.",23,llama-3-embed,smartcity_idx_traffic,"traffic,zone-d-industrial,incident_report",0.636,DOC-738,8,en,2024-04-14
CHK-0002,analytics_summary,traffic,Zone-E-Airport,TRA-006,2024-07-28T21:00:00,"Quarterly performance report: Zone-E-Airport smart city sensors achieved 98.5% uptime. traffic data completeness: 99.1%. Predictive model accuracy for anomaly detection: 91.3% precision, 88.7% recall.",24,llama-3-embed,smartcity_idx_traffic,"traffic,zone-e-airport,analytics_summary",0.633,DOC-833,9,en,2024-11-25
CHK-0003,sensor_report,energy,Zone-D-Industrial,ENE-007,2024-01-09T17:00:00,IoT telemetry batch from ENE-007 covers a 2.5-hour window ending 2024-01-09T17:00:00. Zone Zone-D-Industrial shows critical energy patterns consistent with seasonal norms.,21,llama-3-embed,smartcity_idx_energy,"energy,zone-d-industrial,sensor_report",0.785,DOC-302,10,en,2024-08-02
CHK-0004,maintenance_log,traffic,Zone-B-Midtown,TRA-003,2024-12-26T14:00:00,Maintenance ticket #2798: Sensor TRA-003 in Zone-B-Midtown flagged for battery replacement. Battery level dropped to 42%. Technician dispatched on schedule. Service restored within 4 hours.,25,llama-3-embed,smartcity_idx_traffic,"traffic,zone-b-midtown,maintenance_log",0.609,DOC-585,7,en,2024-02-14
CHK-0005,sensor_report,energy,Zone-B-Midtown,ENE-001,2024-07-11T04:00:00,IoT telemetry batch from ENE-001 covers a 2.5-hour window ending 2024-07-11T04:00:00. Zone Zone-B-Midtown shows normal energy patterns consistent with seasonal norms.,21,llama-3-embed,smartcity_idx_energy,"energy,zone-b-midtown,sensor_report",0.777,DOC-658,7,en,2024-03-12
CHK-0006,incident_report,traffic,Zone-A-Downtown,TRA-003,2024-10-14T03:00:00,Incident #3910: Anomalous traffic readings detected in Zone-A-Downtown at 2024-10-14T03:00:00. Values exceeded normal operating range by >3 standard deviations. Automated alert triggered. Investigation initiated by city operations team.,28,llama-3-embed,smartcity_idx_traffic,"traffic,zone-a-downtown,incident_report",0.764,DOC-312,9,en,2024-06-25
CHK-0007,incident_report,energy,Zone-B-Midtown,ENE-002,2024-06-06T21:00:00,"Anomaly report for sensor ENE-002: Spike in energy metrics detected. Possible causes include equipment malfunction, environmental event, or cyber intrusion. Forensic analysis pending.",23,llama-3-embed,smartcity_idx_energy,"energy,zone-b-midtown,incident_report",0.735,DOC-486,7,en,2024-06-27
CHK-0008,incident_report,energy,Zone-D-Industrial,ENE-006,2024-09-03T05:00:00,Critical event log: Zone-D-Industrial experienced elevated energy anomaly at 2024-09-03T05:00:00. Sensor ENE-006 captured the event. Emergency response protocol activated. Situation resolved within 2 hours.,24,llama-3-embed,smartcity_idx_energy,"energy,zone-d-industrial,incident_report",0.725,DOC-770,4,en,2024-11-24
CHK-0009,maintenance_log,air_quality,Zone-A-Downtown,AIR-006,2024-04-25T22:00:00,Calibration log for air_quality sensor AIR-006: Routine calibration completed. Sensor accuracy verified at 0.95% confidence. Next scheduled maintenance in 60 days.,21,llama-3-embed,smartcity_idx_air_quality,"air_quality,zone-a-downtown,maintenance_log",0.901,DOC-182,8,en,2024-07-09
CHK-0010,sensor_report,energy,Zone-E-Airport,ENE-006,2024-08-18T04:00:00,Automated report from energy sensor ENE-006 deployed in Zone-E-Airport. Timestamp: 2024-08-18T04:00:00. Sensor battery level at 52%. Readings are within acceptable operational thresholds.,22,llama-3-embed,smartcity_idx_energy,"energy,zone-e-airport,sensor_report",0.987,DOC-946,10,en,2024-03-10
