record_id,timestamp,user_id,age,gender,education_level,country,region,occupation,industry,years_experience,income_usd,employment_status,research_topic,survey_response_q1,survey_response_q2,survey_response_q3,survey_response_q4,survey_response_q5,satisfaction_score,nps_score,sentiment_label,sentiment_score,product_used,product_version,session_duration_min,pages_visited,clicks,purchases,purchase_amount_usd,device_type,os,browser,referral_source,campaign_id,ab_test_group,churn_label,lifetime_value_usd,support_tickets,response_time_hrs,issue_resolved,csat_score,health_metric_1,health_metric_2,health_metric_3,text_feedback,embedding_ready_text,topic_tag_1,topic_tag_2,topic_tag_3,data_quality_flag,split_set
1,2024-01-03 08:12:44,U001,34,Female,Bachelor's,USA,Northeast,Data Analyst,Technology,6,92000,Full-time,AI Adoption in Enterprises,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,4.7,9,positive,0.87,PlatformA,3.2,45,12,34,1,320.00,Desktop,Windows,Chrome,Organic Search,C001,A,0,4800,1,2.3,Yes,5,72,88,91,"The AI tools have significantly improved our team's productivity and decision-making speed.","AI tools improved team productivity decision-making speed enterprise adoption positive experience",AI,Productivity,Enterprise,clean,train
2,2024-01-03 09:45:11,U002,28,Male,Master's,UK,London,Data Scientist,Finance,4,115000,Full-time,AI Adoption in Enterprises,Agree,Strongly Agree,Agree,Agree,Agree,4.5,8,positive,0.79,PlatformB,2.1,62,18,51,2,540.50,Laptop,macOS,Safari,LinkedIn,C002,B,0,7200,0,0.0,N/A,4,68,74,85,"Machine learning models are becoming essential for financial risk assessment and fraud detection.","Machine learning models essential financial risk assessment fraud detection finance",ML,Finance,RiskAssessment,clean,train
3,2024-01-03 10:22:05,U003,45,Male,PhD,Germany,Bavaria,ML Engineer,Healthcare,12,138000,Full-time,LLM Performance Benchmarks,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,4.9,10,positive,0.94,PlatformA,3.2,88,24,72,3,980.00,Desktop,Linux,Firefox,Google Ads,C001,A,0,15600,2,1.1,Yes,5,81,92,97,"Large language models are transforming clinical documentation and diagnostic support systems.","Large language models transforming clinical documentation diagnostic support healthcare LLM",LLM,Healthcare,ClinicalAI,clean,train
4,2024-01-04 07:30:00,U004,52,Female,Bachelor's,Canada,Ontario,Business Analyst,Retail,18,78000,Full-time,Customer Behavior Analytics,Neutral,Agree,Disagree,Neutral,Agree,3.2,6,neutral,0.52,PlatformC,1.0,22,7,15,0,0.00,Mobile,Android,Chrome,Email,C003,B,1,2100,3,8.7,No,2,55,60,62,"I find the dashboards somewhat useful but the learning curve is too steep for non-technical staff.","dashboards useful steep learning curve non-technical staff retail analytics challenge",Analytics,UX,Retail,clean,train
5,2024-01-04 09:15:33,U005,31,Non-binary,Master's,Australia,NSW,AI Researcher,Academia,5,95000,Full-time,LLM Performance Benchmarks,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,4.8,9,positive,0.91,PlatformA,3.2,105,30,88,1,210.00,Desktop,macOS,Chrome,ResearchGate,C002,A,0,5400,0,0.0,N/A,5,79,84,93,"RAG-based architectures demonstrate significantly improved factual accuracy over naive generation approaches.","RAG architectures improved factual accuracy naive generation research LLM retrieval augmented generation",RAG,LLM,ResearchAI,clean,train
6,2024-01-04 11:00:55,U006,39,Female,Bachelor's,USA,Southeast,Marketing Manager,E-commerce,10,87000,Full-time,Customer Behavior Analytics,Agree,Neutral,Agree,Strongly Agree,Agree,4.1,7,positive,0.68,PlatformC,1.0,35,14,42,2,155.75,Mobile,iOS,Safari,Social Media,C003,B,0,6300,1,3.5,Yes,4,63,71,74,"Personalization engines have drastically improved our email open rates and conversion metrics.","Personalization engines improved email open rates conversion metrics marketing ecommerce",Personalization,Marketing,Ecommerce,clean,train
7,2024-01-05 08:05:22,U007,26,Male,Bachelor's,India,Bangalore,Software Engineer,Technology,3,52000,Full-time,AI Adoption in Enterprises,Neutral,Disagree,Neutral,Agree,Neutral,2.9,5,neutral,0.44,PlatformB,2.1,18,6,9,0,0.00,Laptop,Windows,Edge,Organic Search,C001,A,1,1200,4,12.1,No,2,48,55,51,"The integration documentation is outdated and made it very difficult to deploy the system properly.","integration documentation outdated difficult deploy system enterprise software challenge frustration",DevOps,Documentation,Integration,clean,train
8,2024-01-05 10:30:14,U008,48,Female,Master's,France,Île-de-France,Chief Data Officer,Insurance,20,172000,Full-time,Data Governance & Ethics,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,4.6,9,positive,0.83,PlatformA,3.2,74,21,58,4,1240.00,Desktop,Windows,Chrome,Direct,C002,A,0,28800,1,1.5,Yes,5,77,85,89,"Data governance frameworks must evolve faster than regulation to maintain competitive advantage in AI.","data governance frameworks evolve regulation competitive advantage AI ethics compliance",Governance,Ethics,Compliance,clean,train
9,2024-01-05 13:45:00,U009,33,Male,PhD,Japan,Tokyo,NLP Researcher,Technology,7,125000,Full-time,LLM Performance Benchmarks,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,5.0,10,positive,0.97,PlatformA,3.2,120,35,95,2,750.00,Desktop,Linux,Firefox,Academic Journal,C001,B,0,10500,0,0.0,N/A,5,88,95,98,"Multilingual LLMs still exhibit significant performance degradation on low-resource languages despite recent advances.","Multilingual LLMs performance degradation low-resource languages NLP research benchmarks",NLP,Multilingual,LLM,clean,train
10,2024-01-06 09:20:45,U010,41,Female,Master's,Brazil,São Paulo,Data Engineer,Logistics,9,67000,Full-time,Data Pipeline Architecture,Agree,Agree,Neutral,Agree,Agree,4.0,7,positive,0.71,PlatformB,2.1,55,17,44,1,430.00,Desktop,Linux,Chrome,Referral,C003,A,0,8100,2,4.2,Yes,4,70,78,80,"Real-time streaming pipelines using Kafka and Spark have reduced our data latency from hours to seconds.","real-time streaming pipelines Kafka Spark reduced data latency hours seconds logistics engineering",DataEngineering,Streaming,Pipeline,clean,train
